Date_Collected,Plot,Sex,Weight_g,Species,Caveat
2013-07-16,2,F,,DM,
2013-07-16,1,M,33,DM,
2013-07-16,3,M,,DM,
2013-07-16,1,M,,DM,
2013-07-18,3,M,40,DM,
2013-07-18,4,M,48,DM,
2013-07-18,2,F,29,DM,
2013-07-18,1,F,46,DM,
2013-07-18,4,M,36,DM,
2013-07-18,2,F,35,DM,
2013-07-18,1,F,22,DM,
2013-07-18,3,F,42,DM,
2013-07-18,1,F,41,DM,
2013-07-18,4,F,37,DM,
2013-08-19,4,F,52,DO,
2013-10-17,3,F,33,DO,
2013-10-17,3,F,50,DO,
2013-10-17,1,F,48,DO,
2013-10-17,17,F,31,DO,
2013-10-18,4,F,41,DO,
2013-11-12,1,F,44,DO,
2013-11-12,1,M,48,DO,
2013-11-12,4,F,117,DS,
2013-11-12,1,F,121,DS,
2013-11-12,20,M,115,DS,
2013-11-12,3,F,120,DS,
2013-11-13,1,F,118,DS,
2013-11-13,3,F,126,DS,
2013-11-13,2,M,132,DS,
2013-11-13,1,F,113,DS,
2013-11-13,3,F,122,DS,
2013-11-13,4,F,107,DS,
2013-11-13,4,F,115,DS,scale not calibrated
2013-11-14,2,F,39,DO,scale not calibrated
2013-12-10,3,F,40,DO,
2013-12-10,1,M,45,DO,
2013-12-11,2,F,41,DO,
2014-01-08,2,,,,
2014-01-08,2,M,44,DM,
2014-01-08,2,M,38,DM,
2014-01-08,2,,,OL,
2014-01-08,2,M,22,PE,
2014-01-08,2,M,38,DM,
2014-01-08,2,M,48,DM,
2014-01-08,2,M,43,DM,
2014-01-08,2,F,35,DM,
2014-01-08,2,M,43,DM,
2014-01-08,2,F,37,DM,
2014-01-08,2,F,7,PF,
2014-01-08,2,M,45,DM,
2014-01-08,2,,,OT,
2014-01-08,2,M,157,DS,
2014-01-08,2,,,OX,
2014-01-08,3,F,7,PF,
2014-01-09,1,M,40,DM,
2014-01-09,1,F,36,DM,
2014-01-09,1,F,135,DS,
2014-01-20,1,F,39,DM,
2014-01-20,1,M,43,DM,
2014-01-20,1,F,144,DS,
2014-02-18,2,M,218,,
2014-02-18,2,F,7,PF,
2014-02-18,2,M,52,DM,
2014-02-18,3,M,24,OT,
2014-02-18,3,F,23,OT,
2014-03-11,3,,232,,
2014-03-11,3,M,22,OT,
2014-03-11,3,M,26,OT,
2014-03-11,3,F,8,PF,
2014-03-13,1,F,51,DM,
2014-03-13,1,F,44,DM,
2014-03-13,1,F,146,DS,
2014-04-08,3,,,,
2014-05-06,3,,,,
2014-05-18,3,,182,,
2014-06-09,3,M,29,OT,
2014-07-08,3,,115,,
2014-07-08,3,,190,,
